studyhours,attendance,resources,extracurricular,motivation,internet,gender,age,learningstyle,onlinecourses,discussions,assignmentcompletion,examscore,edutech,stresslevel,finalgrade
29,84,Some,Yes,Medium,Yes,Female,28,Auditory,14,Rarely,74,60,Yes,Low,Good
25,78,Many,Yes,Medium,Yes,Female,18,Auditory,17,Rarely,91,58,Yes,High,Good
25,78,Some,Yes,Medium,Yes,Female,18,Auditory,17,Rarely,91,58,Yes,High,Good
17,94,Many,No,High,Yes,Female,19,Kinesthetic,3,Often,74,92,No,High,Fail
17,94,Some,No,Low,Yes,Female,19,Kinesthetic,3,Often,74,92,No,High,Fail
17,94,Some,No,Medium,Yes,Female,19,Kinesthetic,3,Often,74,92,No,High,Fail
17,94,Some,Yes,Medium,Yes,Female,19,Kinesthetic,3,Often,74,92,No,High,Fail
17,94,Some,No,High,Yes,Female,19,Kinesthetic,3,Often,74,92,No,High,Fail
17,94,Some,Yes,Low,Yes,Female,19,Kinesthetic,3,Often,74,92,No,High,Fail
17,94,Many,Yes,Medium,Yes,Female,19,Kinesthetic,3,Often,74,92,No,High,Fail
23,98,Some,Yes,Medium,Yes,Female,27,Auditory,5,Rarely,65,58,No,High,Good
23,98,Some,Yes,Medium,Yes,Female,27,Visual,4,Often,100,93,No,High,Fail
23,98,Some,No,Medium,Yes,Female,27,Auditory,5,Rarely,65,58,No,High,Good
23,98,Some,No,Medium,Yes,Female,27,Visual,4,Often,100,93,No,High,Fail
23,98,Many,No,Medium,Yes,Female,27,Auditory,5,Rarely,65,58,No,High,Good
23,98,Many,No,Medium,Yes,Female,27,Visual,4,Often,100,93,No,High,Fail
23,98,Many,Yes,Low,Yes,Female,27,Auditory,5,Rarely,65,58,No,High,Good
23,98,Many,Yes,Low,Yes,Female,27,Visual,4,Often,100,93,No,High,Fail
17,80,Many,No,Medium,No,Female,18,Visual,13,Often,68,73,No,High,Average
17,80,Many,No,Medium,No,Female,24,Kinesthetic,11,Often,64,69,Yes,Low,Good
17,80,Many,No,Medium,No,Female,23,Visual,7,Often,68,87,Yes,Medium,Fail
17,80,Many,No,Medium,No,Female,27,Visual,12,Rarely,64,88,Yes,Low,Fail
17,80,Many,No,Medium,No,Female,29,Visual,0,Often,73,78,Yes,Low,Average
17,80,Some,No,Medium,Yes,Female,18,Visual,13,Often,68,73,No,High,Average
17,80,Some,No,Medium,Yes,Female,24,Kinesthetic,11,Often,64,69,Yes,Low,Good
17,80,Some,No,Medium,Yes,Female,23,Visual,7,Often,68,87,Yes,Medium,Fail
17,80,Some,No,Medium,Yes,Female,27,Visual,12,Rarely,64,88,Yes,Low,Fail
17,80,Some,No,Medium,Yes,Female,29,Visual,0,Often,73,78,Yes,Low,Average
17,80,Many,No,Medium,Yes,Female,18,Visual,13,Often,68,73,No,High,Average
17,80,Many,No,Medium,Yes,Female,24,Kinesthetic,11,Often,64,69,Yes,Low,Good
17,80,Many,No,Medium,Yes,Female,23,Visual,7,Often,68,87,Yes,Medium,Fail
17,80,Many,No,Medium,Yes,Female,27,Visual,12,Rarely,64,88,Yes,Low,Fail
17,80,Many,No,Medium,Yes,Female,29,Visual,0,Often,73,78,Yes,Low,Average
17,97,Many,Yes,Low,Yes,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Many,Yes,Low,Yes,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
17,97,Some,No,Medium,Yes,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Some,No,Medium,Yes,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
17,97,Many,No,High,Yes,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Many,No,High,Yes,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
17,97,Many,Yes,Medium,No,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Many,Yes,Medium,No,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
17,97,Many,No,Medium,Yes,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Many,No,Medium,Yes,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
17,97,Some,Yes,Medium,Yes,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Some,Yes,Medium,Yes,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
17,97,Some,No,High,No,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Some,No,High,No,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
17,97,Some,Yes,Low,Yes,Female,27,Visual,9,Rarely,64,87,Yes,Medium,Fail
17,97,Some,Yes,Low,Yes,Female,25,Auditory,20,Often,70,82,Yes,Medium,Average
21,83,Some,Yes,Low,Yes,Female,27,Auditory,1,Rarely,66,86,No,Medium,Fail
21,83,Some,Yes,Low,Yes,Female,27,Visual,7,Often,77,96,Yes,Medium,Fail
21,83,Some,Yes,High,Yes,Female,27,Auditory,1,Rarely,66,86,No,Medium,Fail
21,83,Some,Yes,High,Yes,Female,27,Visual,7,Often,77,96,Yes,Medium,Fail
21,83,Some,No,Low,Yes,Female,27,Auditory,1,Rarely,66,86,No,Medium,Fail
21,83,Some,No,Low,Yes,Female,27,Visual,7,Often,77,96,Yes,Medium,Fail
21,83,Many,Yes,High,Yes,Female,27,Auditory,1,Rarely,66,86,No,Medium,Fail
21,83,Many,Yes,High,Yes,Female,27,Visual,7,Often,77,96,Yes,Medium,Fail
21,83,Many,No,Medium,Yes,Female,27,Auditory,1,Rarely,66,86,No,Medium,Fail
21,83,Many,No,Medium,Yes,Female,27,Visual,7,Often,77,96,Yes,Medium,Fail
9,82,Some,Yes,Medium,Yes,Female,18,Kinesthetic,17,Rarely,55,40,Yes,High,Excellent
9,82,Some,Yes,Medium,Yes,Female,25,Kinesthetic,13,Rarely,73,46,Yes,High,Excellent
10,78,Many,Yes,Medium,Yes,Female,27,Auditory,5,Rarely,71,68,Yes,High,Good
10,78,Many,Yes,Medium,Yes,Female,20,Kinesthetic,17,Rarely,85,78,Yes,High,Average
17,68,Some,No,Medium,Yes,Male,19,Kinesthetic,0,Often,75,42,Yes,Medium,Excellent
17,68,Some,No,Medium,Yes,Male,24,Auditory,4,Often,87,64,Yes,High,Good
17,68,Some,No,Medium,Yes,Male,20,Kinesthetic,19,Often,88,49,Yes,Medium,Excellent
17,68,Some,Yes,Medium,Yes,Male,19,Kinesthetic,0,Often,75,42,Yes,Medium,Excellent
17,68,Some,Yes,Medium,Yes,Male,24,Auditory,4,Often,87,64,Yes,High,Good
17,68,Some,Yes,Medium,Yes,Male,20,Kinesthetic,19,Often,88,49,Yes,Medium,Excellent
17,68,Some,No,High,Yes,Male,19,Kinesthetic,0,Often,75,42,Yes,Medium,Excellent
17,68,Some,No,High,Yes,Male,24,Auditory,4,Often,87,64,Yes,High,Good
17,68,Some,No,High,Yes,Male,20,Kinesthetic,19,Often,88,49,Yes,Medium,Excellent
17,68,Many,Yes,Medium,Yes,Male,19,Kinesthetic,0,Often,75,42,Yes,Medium,Excellent
17,68,Many,Yes,Medium,Yes,Male,24,Auditory,4,Often,87,64,Yes,High,Good
17,68,Many,Yes,Medium,Yes,Male,20,Kinesthetic,19,Often,88,49,Yes,Medium,Excellent
17,68,Some,Yes,High,Yes,Male,19,Kinesthetic,0,Often,75,42,Yes,Medium,Excellent
17,68,Some,Yes,High,Yes,Male,24,Auditory,4,Often,87,64,Yes,High,Good
17,68,Some,Yes,High,Yes,Male,20,Kinesthetic,19,Often,88,49,Yes,Medium,Excellent
22,70,Some,Yes,Medium,Yes,Male,22,Kinesthetic,1,Often,74,40,Yes,High,Excellent
22,70,Some,No,Low,Yes,Male,22,Kinesthetic,1,Often,74,40,Yes,High,Excellent
22,70,Many,Yes,High,Yes,Male,22,Kinesthetic,1,Often,74,40,Yes,High,Excellent
22,70,Some,Yes,Low,Yes,Male,22,Kinesthetic,1,Often,74,40,Yes,High,Excellent
22,70,Many,Yes,Medium,Yes,Male,22,Kinesthetic,1,Often,74,40,Yes,High,Excellent
15,80,Some,Yes,Low,Yes,Male,23,Auditory,2,Rarely,50,56,No,Medium,Good
15,80,Some,Yes,Low,Yes,Male,21,Auditory,7,Often,87,89,Yes,Low,Fail
15,80,Some,Yes,Low,Yes,Male,23,Visual,13,Often,56,75,Yes,High,Average
15,80,Many,No,Medium,Yes,Male,23,Auditory,2,Rarely,50,56,No,Medium,Good
15,80,Many,No,Medium,Yes,Male,21,Auditory,7,Often,87,89,Yes,Low,Fail
15,80,Many,No,Medium,Yes,Male,23,Visual,13,Often,56,75,Yes,High,Average
15,80,Some,No,High,Yes,Male,23,Auditory,2,Rarely,50,56,No,Medium,Good
15,80,Some,No,High,Yes,Male,21,Auditory,7,Often,87,89,Yes,Low,Fail
15,80,Some,No,High,Yes,Male,23,Visual,13,Often,56,75,Yes,High,Average
15,80,Some,No,Medium,Yes,Male,23,Auditory,2,Rarely,50,56,No,Medium,Good
15,80,Some,No,Medium,Yes,Male,21,Auditory,7,Often,87,89,Yes,Low,Fail
15,80,Some,No,Medium,Yes,Male,23,Visual,13,Often,56,75,Yes,High,Average
15,80,Some,Yes,Medium,Yes,Male,23,Auditory,2,Rarely,50,56,No,Medium,Good
15,80,Some,Yes,Medium,Yes,Male,21,Auditory,7,Often,87,89,Yes,Low,Fail
15,80,Some,Yes,Medium,Yes,Male,23,Visual,13,Often,56,75,Yes,High,Average
12,75,Many,Yes,Medium,Yes,Female,21,Visual,16,Often,66,71,Yes,High,Average
12,75,Many,Yes,Medium,Yes,Female,22,Auditory,20,Often,55,48,Yes,Medium,Excellent
29,78,Some,No,High,Yes,Male,28,Visual,2,Often,67,91,Yes,High,Fail
29,78,Many,Yes,Medium,Yes,Male,28,Visual,2,Often,67,91,Yes,High,Fail
19,99,Many,No,Medium,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
19,99,Some,No,Medium,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
19,99,Many,No,Low,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
19,99,Many,Yes,Low,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
19,99,Some,Yes,Low,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
19,99,Some,Yes,Medium,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
19,99,Some,No,High,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
19,99,Many,Yes,Medium,Yes,Female,25,Kinesthetic,13,Often,91,56,Yes,Low,Good
20,74,Many,No,Low,Yes,Male,22,Kinesthetic,3,Often,93,97,Yes,High,Fail
20,74,Many,No,Low,Yes,Male,24,Visual,20,Often,68,67,No,Medium,Good
20,74,Many,No,Low,Yes,Male,29,Visual,13,Rarely,80,65,No,Low,Good
20,74,Some,Yes,Low,Yes,Male,22,Kinesthetic,3,Often,93,97,Yes,High,Fail
20,74,Some,Yes,Low,Yes,Male,24,Visual,20,Often,68,67,No,Medium,Good
20,74,Some,Yes,Low,Yes,Male,29,Visual,13,Rarely,80,65,No,Low,Good
20,74,Many,Yes,Medium,No,Male,22,Kinesthetic,3,Often,93,97,Yes,High,Fail
20,74,Many,Yes,Medium,No,Male,24,Visual,20,Often,68,67,No,Medium,Good
20,74,Many,Yes,Medium,No,Male,29,Visual,13,Rarely,80,65,No,Low,Good
20,74,Some,Yes,High,Yes,Male,22,Kinesthetic,3,Often,93,97,Yes,High,Fail
20,74,Some,Yes,High,Yes,Male,24,Visual,20,Often,68,67,No,Medium,Good
20,74,Some,Yes,High,Yes,Male,29,Visual,13,Rarely,80,65,No,Low,Good
11,78,Some,Yes,High,Yes,Female,25,Auditory,4,Often,59,77,No,Medium,Average
11,78,Some,Yes,High,Yes,Female,27,Visual,15,Rarely,69,77,Yes,High,Average
11,78,Some,Yes,High,Yes,Female,18,Visual,13,Rarely,62,90,Yes,High,Fail
11,78,Some,Yes,High,Yes,Female,19,Auditory,3,Often,80,98,Yes,High,Fail
11,78,Some,Yes,High,Yes,Female,21,Kinesthetic,8,Often,96,83,Yes,Medium,Average
11,78,Many,Yes,Medium,Yes,Female,25,Auditory,4,Often,59,77,No,Medium,Average
11,78,Many,Yes,Medium,Yes,Female,27,Visual,15,Rarely,69,77,Yes,High,Average
11,78,Many,Yes,Medium,Yes,Female,18,Visual,13,Rarely,62,90,Yes,High,Fail
11,78,Many,Yes,Medium,Yes,Female,19,Auditory,3,Often,80,98,Yes,High,Fail
11,78,Many,Yes,Medium,Yes,Female,21,Kinesthetic,8,Often,96,83,Yes,Medium,Average
17,65,Many,Yes,Medium,Yes,Male,28,Auditory,12,Rarely,88,72,No,Low,Average
17,65,Many,Yes,Medium,Yes,Male,21,Visual,16,Rarely,79,58,Yes,High,Good
17,65,Some,Yes,Medium,Yes,Male,28,Auditory,12,Rarely,88,72,No,Low,Average
17,65,Some,Yes,Medium,Yes,Male,21,Visual,16,Rarely,79,58,Yes,High,Good
17,65,Some,No,Medium,Yes,Male,28,Auditory,12,Rarely,88,72,No,Low,Average
17,65,Some,No,Medium,Yes,Male,21,Visual,16,Rarely,79,58,Yes,High,Good
21,62,Some,Yes,High,Yes,Female,26,Auditory,9,Often,65,46,No,High,Excellent
21,62,Some,No,High,Yes,Female,26,Auditory,9,Often,65,46,No,High,Excellent
21,62,Some,No,Medium,Yes,Female,26,Auditory,9,Often,65,46,No,High,Excellent
13,91,Some,No,Medium,Yes,Male,19,Visual,7,Often,64,63,No,Medium,Good
13,91,Some,No,Medium,Yes,Male,25,Kinesthetic,12,Rarely,73,77,No,High,Average
13,91,Some,No,Medium,Yes,Male,21,Visual,13,Often,98,100,No,High,Fail
13,91,Some,No,Medium,Yes,Male,29,Visual,3,Often,66,90,Yes,High,Fail
13,91,Some,No,Medium,Yes,Male,28,Visual,11,Often,85,46,Yes,High,Excellent
13,91,Some,No,Medium,Yes,Male,19,Auditory,18,Rarely,89,61,No,High,Good
13,91,Some,Yes,Medium,Yes,Male,19,Visual,7,Often,64,63,No,Medium,Good
13,91,Some,Yes,Medium,Yes,Male,25,Kinesthetic,12,Rarely,73,77,No,High,Average
13,91,Some,Yes,Medium,Yes,Male,21,Visual,13,Often,98,100,No,High,Fail
13,91,Some,Yes,Medium,Yes,Male,29,Visual,3,Often,66,90,Yes,High,Fail
13,91,Some,Yes,Medium,Yes,Male,28,Visual,11,Often,85,46,Yes,High,Excellent
13,91,Some,Yes,Medium,Yes,Male,19,Auditory,18,Rarely,89,61,No,High,Good
22,83,Many,Yes,Medium,Yes,Female,28,Auditory,11,Rarely,96,75,Yes,High,Average
22,83,Some,Yes,High,Yes,Female,28,Auditory,11,Rarely,96,75,Yes,High,Average
22,83,Some,Yes,High,No,Female,28,Auditory,11,Rarely,96,75,Yes,High,Average
22,83,Some,Yes,Medium,Yes,Female,28,Auditory,11,Rarely,96,75,Yes,High,Average
16,90,Some,No,Medium,Yes,Male,19,Visual,0,Often,90,52,No,High,Excellent
16,90,Some,No,High,No,Male,19,Visual,0,Often,90,52,No,High,Excellent
16,90,Many,Yes,Medium,Yes,Male,19,Visual,0,Often,90,52,No,High,Excellent
16,90,Many,Yes,High,Yes,Male,19,Visual,0,Often,90,52,No,High,Excellent
18,66,Many,No,Low,Yes,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Many,No,Low,Yes,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
18,66,Some,No,Medium,Yes,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Some,No,Medium,Yes,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
18,66,Many,No,Medium,Yes,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Many,No,Medium,Yes,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
18,66,Many,Yes,Medium,Yes,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Many,Yes,Medium,Yes,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
18,66,Some,Yes,Low,No,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Some,Yes,Low,No,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
18,66,Many,Yes,Medium,No,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Many,Yes,Medium,No,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
18,66,Some,Yes,High,Yes,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Some,Yes,High,Yes,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
18,66,Some,Yes,Medium,Yes,Female,22,Visual,3,Rarely,50,73,Yes,Medium,Average
18,66,Some,Yes,Medium,Yes,Female,27,Auditory,11,Rarely,57,60,Yes,Low,Good
16,83,Some,No,Medium,Yes,Male,27,Visual,12,Often,52,66,No,Medium,Good
16,83,Some,No,Medium,Yes,Male,26,Visual,0,Rarely,96,56,Yes,Low,Good
16,83,Many,Yes,Low,Yes,Male,27,Visual,12,Often,52,66,No,Medium,Good
16,83,Many,Yes,Low,Yes,Male,26,Visual,0,Rarely,96,56,Yes,Low,Good
16,83,Some,Yes,Medium,Yes,Male,27,Visual,12,Often,52,66,No,Medium,Good
16,83,Some,Yes,Medium,Yes,Male,26,Visual,0,Rarely,96,56,Yes,Low,Good
16,83,Some,Yes,High,Yes,Male,27,Visual,12,Often,52,66,No,Medium,Good
16,83,Some,Yes,High,Yes,Male,26,Visual,0,Rarely,96,56,Yes,Low,Good
16,83,Some,Yes,Low,Yes,Male,27,Visual,12,Often,52,66,No,Medium,Good
16,83,Some,Yes,Low,Yes,Male,26,Visual,0,Rarely,96,56,Yes,Low,Good
16,83,Some,No,Low,Yes,Male,27,Visual,12,Often,52,66,No,Medium,Good
16,83,Some,No,Low,Yes,Male,26,Visual,0,Rarely,96,56,Yes,Low,Good
31,70,Many,Yes,Medium,Yes,Female,28,Auditory,1,Rarely,52,71,Yes,High,Average
20,69,Some,Yes,Medium,Yes,Female,21,Kinesthetic,3,Often,87,79,Yes,Low,Average
20,69,Some,Yes,Medium,Yes,Female,18,Kinesthetic,9,Rarely,82,97,No,High,Fail
20,69,Many,Yes,Medium,Yes,Female,21,Kinesthetic,3,Often,87,79,Yes,Low,Average
20,69,Many,Yes,Medium,Yes,Female,18,Kinesthetic,9,Rarely,82,97,No,High,Fail
20,69,Many,No,Low,Yes,Female,21,Kinesthetic,3,Often,87,79,Yes,Low,Average
20,69,Many,No,Low,Yes,Female,18,Kinesthetic,9,Rarely,82,97,No,High,Fail
20,69,Some,Yes,High,Yes,Female,21,Kinesthetic,3,Often,87,79,Yes,Low,Average
20,69,Some,Yes,High,Yes,Female,18,Kinesthetic,9,Rarely,82,97,No,High,Fail
14,60,Some,No,Medium,Yes,Male,18,Visual,6,Rarely,88,52,Yes,High,Excellent
14,60,Some,Yes,Low,Yes,Male,18,Visual,6,Rarely,88,52,Yes,High,Excellent
25,65,Some,No,Medium,Yes,Male,25,Kinesthetic,0,Often,62,51,No,Medium,Excellent
25,65,Some,No,Medium,Yes,Male,28,Kinesthetic,12,Often,100,55,Yes,Low,Good
25,65,Many,Yes,High,Yes,Male,25,Kinesthetic,0,Often,62,51,No,Medium,Excellent
25,65,Many,Yes,High,Yes,Male,28,Kinesthetic,12,Often,100,55,Yes,Low,Good
25,65,Some,Yes,Medium,Yes,Male,25,Kinesthetic,0,Often,62,51,No,Medium,Excellent
25,65,Some,Yes,Medium,Yes,Male,28,Kinesthetic,12,Often,100,55,Yes,Low,Good
25,65,Many,Yes,Low,No,Male,25,Kinesthetic,0,Often,62,51,No,Medium,Excellent
25,65,Many,Yes,Low,No,Male,28,Kinesthetic,12,Often,100,55,Yes,Low,Good
21,65,Some,Yes,Low,Yes,Male,20,Kinesthetic,1,Often,54,54,Yes,Low,Excellent
21,65,Some,Yes,Low,Yes,Male,24,Visual,2,Often,96,78,No,High,Average
21,65,Many,Yes,Low,No,Male,20,Kinesthetic,1,Often,54,54,Yes,Low,Excellent
21,65,Many,Yes,Low,No,Male,24,Visual,2,Often,96,78,No,High,Average
8,99,Some,No,Low,Yes,Male,28,Auditory,9,Often,99,97,No,Medium,Fail
8,99,Some,No,Low,Yes,Male,23,Visual,4,Often,89,54,Yes,Medium,Excellent
8,99,Some,No,Low,Yes,Male,20,Kinesthetic,6,Often,59,91,No,Low,Fail
8,99,Many,Yes,Medium,Yes,Male,28,Auditory,9,Often,99,97,No,Medium,Fail
8,99,Many,Yes,Medium,Yes,Male,23,Visual,4,Often,89,54,Yes,Medium,Excellent
8,99,Many,Yes,Medium,Yes,Male,20,Kinesthetic,6,Often,59,91,No,Low,Fail
12,72,Some,Yes,Medium,Yes,Male,28,Visual,15,Often,58,100,No,Medium,Fail
12,72,Some,Yes,Medium,Yes,Male,26,Auditory,20,Often,51,42,Yes,High,Excellent
12,72,Some,Yes,Medium,Yes,Male,29,Visual,5,Rarely,61,73,Yes,Medium,Average
12,72,Some,Yes,High,Yes,Male,28,Visual,15,Often,58,100,No,Medium,Fail
12,72,Some,Yes,High,Yes,Male,26,Auditory,20,Often,51,42,Yes,High,Excellent
12,72,Some,Yes,High,Yes,Male,29,Visual,5,Rarely,61,73,Yes,Medium,Average
12,72,Some,No,High,Yes,Male,28,Visual,15,Often,58,100,No,Medium,Fail
12,72,Some,No,High,Yes,Male,26,Auditory,20,Often,51,42,Yes,High,Excellent
12,72,Some,No,High,Yes,Male,29,Visual,5,Rarely,61,73,Yes,Medium,Average
12,72,Some,No,Low,Yes,Male,28,Visual,15,Often,58,100,No,Medium,Fail
12,72,Some,No,Low,Yes,Male,26,Auditory,20,Often,51,42,Yes,High,Excellent
12,72,Some,No,Low,Yes,Male,29,Visual,5,Rarely,61,73,Yes,Medium,Average
21,65,Some,Yes,Low,Yes,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
21,65,Some,Yes,High,No,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
21,65,Some,No,High,Yes,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
21,65,Many,No,Low,Yes,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
21,65,Some,Yes,Medium,Yes,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
21,65,Some,No,Medium,Yes,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
21,65,Many,Yes,High,Yes,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
21,65,Many,No,Medium,Yes,Female,21,Visual,0,Rarely,93,95,Yes,Medium,Fail
24,68,Some,No,Low,Yes,Female,29,Auditory,13,Often,78,61,Yes,Medium,Good
24,68,Some,No,Medium,Yes,Female,29,Auditory,13,Often,78,61,Yes,Medium,Good
24,68,Some,Yes,High,Yes,Female,29,Auditory,13,Often,78,61,Yes,Medium,Good
24,68,Some,Yes,Low,Yes,Female,29,Auditory,13,Often,78,61,Yes,Medium,Good
24,68,Many,Yes,Low,Yes,Female,29,Auditory,13,Often,78,61,Yes,Medium,Good
24,68,Some,Yes,Medium,Yes,Female,29,Auditory,13,Often,78,61,Yes,Medium,Good
24,68,Some,Yes,Medium,No,Female,29,Auditory,13,Often,78,61,Yes,Medium,Good
21,84,Some,Yes,Low,Yes,Male,23,Visual,11,Rarely,79,56,Yes,High,Good
21,84,Some,No,Low,Yes,Male,23,Visual,11,Rarely,79,56,Yes,High,Good
